Frequency_Hz	H1_abs	H2_abs	Coherence
1.00708432e+00	4.61660389e-02	4.77552395e-02	9.66721962e-01
1.01402973e+00	5.25187336e-02	5.49532794e-02	9.55697897e-01
1.02097514e+00	5.67879619e-02	5.81197559e-02	9.77085348e-01
1.02792054e+00	6.33483436e-02	6.45082541e-02	9.82019193e-01
1.03486595e+00	6.57081169e-02	6.65055113e-02	9.88010100e-01
1.04181136e+00	6.35045191e-02	6.44016441e-02	9.86069843e-01
1.04875677e+00	7.07691562e-02	7.17863039e-02	9.85830895e-01
1.05570218e+00	7.66652350e-02	7.72751701e-02	9.92106972e-01
1.06264759e+00	7.90683667e-02	7.96677155e-02	9.92476893e-01
1.06959300e+00	8.10972146e-02	8.16401795e-02	9.93349294e-01
1.07653841e+00	8.51513290e-02	8.58580790e-02	9.91768392e-01
1.08348382e+00	9.13487442e-02	9.21263015e-02	9.91559877e-01
1.09042923e+00	9.63388093e-02	9.71905303e-02	9.91236584e-01
1.09737464e+00	9.94172662e-02	1.00135503e-01	9.92827354e-01
1.10432004e+00	1.05017727e-01	1.05762287e-01	9.92960066e-01
1.11126545e+00	1.14157638e-01	1.14764561e-01	9.94711580e-01
1.11821086e+00	1.20735874e-01	1.21131258e-01	9.96735910e-01
1.12515627e+00	1.27045792e-01	1.27520877e-01	9.96274458e-01
1.13210168e+00	1.34702304e-01	1.35240882e-01	9.96017634e-01
1.13904709e+00	1.45605370e-01	1.46136141e-01	9.96367968e-01
1.14599250e+00	1.56727439e-01	1.57432931e-01	9.95518779e-01
1.15293791e+00	1.66887261e-01	1.67393763e-01	9.96974191e-01
1.15988332e+00	1.75785451e-01	1.76423919e-01	9.96381056e-01
1.16682873e+00	1.92564492e-01	1.93212858e-01	9.96644295e-01
1.17377414e+00	2.09627564e-01	2.10197533e-01	9.97288411e-01
1.18071954e+00	2.26255179e-01	2.26735455e-01	9.97881779e-01
1.18766495e+00	2.45408705e-01	2.46194959e-01	9.96806374e-01
1.19461036e+00	2.69629182e-01	2.70754736e-01	9.95842901e-01
1.20155577e+00	3.00861966e-01	3.02252052e-01	9.95400905e-01
1.20850118e+00	3.36391894e-01	3.37799119e-01	9.95834135e-01
1.21544659e+00	3.78713898e-01	3.80542812e-01	9.95193934e-01
1.22239200e+00	4.28208134e-01	4.30690938e-01	9.94235300e-01
1.22933741e+00	4.92458541e-01	4.95878208e-01	9.93103817e-01
1.23628282e+00	5.70273435e-01	5.74229609e-01	9.93110466e-01
1.24322823e+00	6.72903223e-01	6.79626222e-01	9.90107800e-01
1.25017364e+00	8.14820570e-01	8.27601272e-01	9.84556933e-01
1.25711904e+00	1.04744228e+00	1.07721186e+00	9.72364223e-01
1.26406445e+00	1.44948661e+00	1.51956289e+00	9.53883923e-01
1.27100986e+00	2.23624135e+00	2.50840626e+00	8.91498873e-01
1.27795527e+00	3.69057295e+00	6.24862354e+00	5.90621746e-01
1.28490068e+00	4.09509013e+00	8.62721366e+00	4.74671231e-01
1.29184609e+00	2.88335307e+00	3.28215954e+00	8.78492663e-01
1.29879150e+00	1.85820759e+00	1.95375590e+00	9.51095059e-01
1.30573691e+00	1.35699669e+00	1.38943690e+00	9.76652261e-01
1.31268232e+00	1.06244886e+00	1.07709848e+00	9.86398990e-01
1.31962773e+00	9.03624433e-01	9.10139359e-01	9.92841838e-01
1.32657314e+00	8.12276015e-01	8.16735990e-01	9.94539270e-01
1.33351854e+00	7.23886216e-01	7.27269399e-01	9.95348102e-01
1.34046395e+00	6.40318339e-01	6.42599144e-01	9.96450656e-01
1.34740936e+00	5.76478543e-01	5.77939628e-01	9.97471908e-01
1.35435477e+00	5.29321810e-01	5.30478845e-01	9.97818886e-01
1.36130018e+00	4.91497904e-01	4.92158944e-01	9.98656857e-01
1.36824559e+00	4.61089567e-01	4.61703164e-01	9.98671012e-01
1.37519100e+00	4.32889729e-01	4.33287161e-01	9.99082752e-01
1.38213641e+00	4.09952068e-01	4.10345520e-01	9.99041171e-01
1.38908182e+00	3.91789391e-01	3.91982134e-01	9.99508284e-01
1.39602723e+00	3.77979461e-01	3.78170465e-01	9.99494927e-01
1.40297264e+00	3.63399710e-01	3.63602511e-01	9.99442245e-01
1.40991804e+00	3.49849141e-01	3.50027297e-01	9.99491021e-01
1.41686345e+00	3.39327557e-01	3.39431710e-01	9.99693155e-01
1.42380886e+00	3.30770799e-01	3.30859694e-01	9.99731322e-01
1.43075427e+00	3.22838675e-01	3.22952652e-01	9.99647077e-01
1.43769968e+00	3.13917785e-01	3.14037528e-01	9.99618698e-01
1.44464509e+00	3.07834642e-01	3.07891202e-01	9.99816300e-01
1.45159050e+00	3.03148867e-01	3.03187744e-01	9.99871774e-01
1.45853591e+00	2.97698632e-01	2.97792772e-01	9.99683875e-01
1.46548132e+00	2.90906523e-01	2.90987301e-01	9.99722401e-01
1.47242673e+00	2.85377405e-01	2.85456805e-01	9.99721850e-01
1.47937214e+00	2.82229920e-01	2.82256174e-01	9.99906987e-01
1.48631754e+00	2.80426394e-01	2.80488437e-01	9.99778802e-01
1.49326295e+00	2.76746200e-01	2.76811706e-01	9.99763356e-01
1.50020836e+00	2.75755303e-01	2.75817935e-01	9.99772923e-01
1.50715377e+00	2.75321312e-01	2.75374968e-01	9.99805154e-01
1.51409918e+00	2.73875646e-01	2.73937035e-01	9.99775902e-01
1.52104459e+00	2.71615967e-01	2.71678029e-01	9.99771559e-01
1.52799000e+00	2.69780498e-01	2.69823795e-01	9.99839533e-01
1.53493541e+00	2.72195780e-01	2.72258549e-01	9.99769451e-01
1.54188082e+00	2.75203945e-01	2.75258557e-01	9.99801600e-01
1.54882623e+00	2.75534152e-01	2.75572096e-01	9.99862310e-01
1.55577163e+00	2.75032091e-01	2.75068440e-01	9.99867854e-01
1.56271704e+00	2.76039852e-01	2.76103725e-01	9.99768661e-01
1.56966245e+00	2.79171942e-01	2.79237334e-01	9.99765817e-01
1.57660786e+00	2.81984090e-01	2.82048948e-01	9.99770045e-01
1.58355327e+00	2.82063550e-01	2.82109337e-01	9.99837695e-01
1.59049868e+00	2.84091539e-01	2.84141619e-01	9.99823751e-01
1.59744409e+00	2.88146961e-01	2.88199630e-01	9.99817246e-01
1.60438950e+00	2.92477646e-01	2.92533494e-01	9.99809089e-01
1.61133491e+00	2.95547070e-01	2.95597241e-01	9.99830270e-01
1.61828032e+00	3.00035237e-01	3.00083255e-01	9.99839985e-01
1.62522573e+00	3.05494228e-01	3.05559918e-01	9.99785016e-01
