Frequency_Hz	H1_abs_acc1	H2_abs_acc1	Coh_acc1	H1_abs_acc2	H2_abs_acc2	Coh_acc2	H1_abs_acc3	H2_abs_acc3	Coh_acc3	H1_abs_acc4	H2_abs_acc4	Coh_acc4	H1_abs_acc5	H2_abs_acc5	Coh_acc5	H1_abs_acc6	H2_abs_acc6	Coh_acc6
7.63994999e-01	1.05316076e-02	2.01258157e-02	5.23288482e-01	6.73646817e-03	2.39022142e-02	2.81834483e-01	8.96801928e-03	1.45723675e-02	6.15412647e-01	1.06544190e-02	1.99481142e-02	5.34106579e-01	1.44300250e-02	2.51164189e-02	5.74525575e-01	1.22726019e-02	1.90746411e-02	6.43398837e-01
7.70940408e-01	8.48209577e-03	1.75329250e-02	4.83780988e-01	5.80774453e-03	2.43630080e-02	2.38383722e-01	9.72525627e-03	1.30232975e-02	7.46758360e-01	1.01631342e-02	1.67667548e-02	6.06147957e-01	1.59855530e-02	2.30982344e-02	6.92068178e-01	9.76990627e-03	1.63960086e-02	5.95871014e-01
7.77885817e-01	8.88837249e-03	1.91910215e-02	4.63152651e-01	7.53530193e-03	2.12054541e-02	3.55347351e-01	8.91221289e-03	1.28167820e-02	6.95354957e-01	1.07296465e-02	1.62720620e-02	6.59390709e-01	1.53359321e-02	2.20395130e-02	6.95838065e-01	9.37144895e-03	1.53190109e-02	6.11752874e-01
7.84831227e-01	8.11916879e-03	1.95085717e-02	4.16184687e-01	7.69065716e-03	1.79577576e-02	4.28263779e-01	9.84436664e-03	1.38195299e-02	7.12351774e-01	1.14097805e-02	1.63335046e-02	6.98550666e-01	1.70834037e-02	2.29989807e-02	7.42789603e-01	1.02970629e-02	1.51047662e-02	6.81709519e-01
7.91776636e-01	1.01590758e-02	1.77894622e-02	5.71072675e-01	8.68592054e-03	1.65929021e-02	5.23472053e-01	1.08453425e-02	1.33060511e-02	8.15068454e-01	9.89270968e-03	1.61767172e-02	6.11540002e-01	2.08290825e-02	2.59130503e-02	8.03806665e-01	1.03018180e-02	1.36015382e-02	7.57400952e-01
7.98722045e-01	1.00496656e-02	1.67309932e-02	6.00661631e-01	7.69888726e-03	1.44176406e-02	5.33990789e-01	1.09683939e-02	1.37152108e-02	7.99724778e-01	9.62830409e-03	1.50606701e-02	6.39301174e-01	2.15407170e-02	2.55336758e-02	8.43619900e-01	1.00289716e-02	1.37771129e-02	7.27944361e-01
8.05667454e-01	1.12427617e-02	1.82912251e-02	6.14653293e-01	8.63901771e-03	1.65428160e-02	5.22221714e-01	1.01372574e-02	1.29006200e-02	7.85796141e-01	1.17718962e-02	1.55769954e-02	7.55723160e-01	1.83702771e-02	2.36547223e-02	7.76600834e-01	9.88678760e-03	1.36707098e-02	7.23209527e-01
8.12612863e-01	1.13107153e-02	1.73463709e-02	6.52050814e-01	7.03648570e-03	1.86800070e-02	3.76685389e-01	9.71523909e-03	1.28940227e-02	7.53468437e-01	1.22417081e-02	1.63491256e-02	7.48768370e-01	1.64645075e-02	2.37363747e-02	6.93640357e-01	1.16562658e-02	1.53322042e-02	7.60247237e-01
8.19558272e-01	1.11002034e-02	1.83752851e-02	6.04083331e-01	8.18678182e-03	1.80332641e-02	4.53982251e-01	1.11557528e-02	1.30586803e-02	8.54278728e-01	1.14143980e-02	1.58742524e-02	7.19051058e-01	1.00547241e-02	2.11926912e-02	4.74443003e-01	1.32696171e-02	1.68925217e-02	7.85532044e-01
8.26503681e-01	1.21298942e-02	1.64862794e-02	7.35756921e-01	9.18777265e-03	1.67301653e-02	5.49174050e-01	1.11274676e-02	1.29579127e-02	8.58739205e-01	1.12145347e-02	1.64592616e-02	6.81351020e-01	8.62768313e-03	1.83028602e-02	4.71384419e-01	1.29915065e-02	1.76238562e-02	7.37154592e-01
8.33449090e-01	1.09268208e-02	1.64545606e-02	6.64060322e-01	9.57468125e-03	1.69923105e-02	5.63471416e-01	1.10650992e-02	1.34852084e-02	8.20536020e-01	1.18988248e-02	1.59732831e-02	7.44920424e-01	1.18961636e-02	1.98532219e-02	5.99205695e-01	1.37028908e-02	1.77057705e-02	7.73922309e-01
8.40394499e-01	9.71946617e-03	1.62666960e-02	5.97507088e-01	8.61903240e-03	1.71355410e-02	5.02991553e-01	1.09284007e-02	1.38864875e-02	7.86980920e-01	1.21461692e-02	1.55043997e-02	7.83401447e-01	1.68113779e-02	2.45907002e-02	6.83647791e-01	1.42328462e-02	1.77246244e-02	8.02998466e-01
8.47339908e-01	1.00338570e-02	1.75076032e-02	5.73114255e-01	1.01434856e-02	1.87597508e-02	5.40704708e-01	1.10974259e-02	1.35804674e-02	8.17160821e-01	1.19911792e-02	1.63138088e-02	7.35032471e-01	2.66032936e-02	3.15860223e-02	8.42248932e-01	1.28524114e-02	1.71318642e-02	7.50205070e-01
8.54285317e-01	1.30512902e-02	1.97215703e-02	6.61777436e-01	9.52690173e-03	1.91897200e-02	4.96458610e-01	1.28143110e-02	1.46563966e-02	8.74315242e-01	1.23376102e-02	1.77513668e-02	6.95023109e-01	3.31451091e-02	3.65212787e-02	9.07556094e-01	1.13950116e-02	1.64373122e-02	6.93240567e-01
8.61230726e-01	1.28285952e-02	1.77083681e-02	7.24436893e-01	8.96217267e-03	2.11545786e-02	4.23651676e-01	1.30585146e-02	1.47150846e-02	8.87423683e-01	1.40038570e-02	1.99412986e-02	7.02254012e-01	2.92017508e-02	3.34149731e-02	8.73912146e-01	1.32356541e-02	1.62262448e-02	8.15694216e-01
8.68176136e-01	1.33070376e-02	1.77352022e-02	7.50317779e-01	1.16387224e-02	2.01333974e-02	5.78080399e-01	1.26966778e-02	1.44725974e-02	8.77290888e-01	1.50812454e-02	1.91939051e-02	7.85730956e-01	2.54950088e-02	2.87505327e-02	8.86766483e-01	1.44072811e-02	1.68976068e-02	8.52622583e-01
