Force;Acc4;
-0.013964;-1.938386;
-0.016069;-1.970011;
-0.018119;-1.995397;
-0.020111;-2.014459;
-0.022038;-2.027138;
-0.023894;-2.033390;
-0.025674;-2.033195;
-0.027374;-2.026551;
-0.028989;-2.013480;
-0.030514;-1.994020;
-0.031946;-1.968233;
-0.033280;-1.936199;
-0.034512;-1.898018;
-0.035641;-1.853810;
-0.036662;-1.803716;
-0.037573;-1.747891;
-0.038373;-1.686514;
-0.039057;-1.619777;
-0.039626;-1.547892;
-0.040078;-1.471085;
-0.040412;-1.389600;
-0.040627;-1.303695;
-0.040723;-1.213641;
-0.040699;-1.119723;
-0.040557;-1.022240;
-0.040297;-0.921500;
-0.039920;-0.817822;
-0.039427;-0.711535;
-0.038820;-0.602975;
-0.038102;-0.492487;
-0.037275;-0.380421;
-0.036341;-0.267133;
-0.035303;-0.152982;
-0.034165;-0.038330;
-0.032931;0.076459;
-0.031604;0.191022;
-0.030189;0.304994;
-0.028690;0.418014;
-0.027111;0.529723;
-0.025459;0.639767;
-0.023737;0.747797;
-0.021951;0.853469;
-0.020106;0.956448;
-0.018209;1.056407;
-0.016264;1.153029;
-0.014278;1.246006;
-0.012256;1.335045;
-0.010204;1.419861;
-0.008127;1.500186;
-0.006033;1.575765;
-0.003926;1.646356;
-0.001813;1.711737;
0.000301;1.771699;
0.002411;1.826052;
0.004510;1.874622;
0.006593;1.917256;
0.008655;1.953818;
0.010691;1.984191;
0.012696;2.008279;
0.014664;2.026004;
0.016591;2.037311;
0.018473;2.042163;
0.020305;2.040544;
0.022084;2.032459;
0.023805;2.017933;
0.025464;1.997012;
0.027059;1.969761;
0.028585;1.936267;
0.030041;1.896636;
0.031422;1.850992;
0.032727;1.799480;
0.033954;1.742263;
0.035099;1.679523;
0.036162;1.611456;
0.037140;1.538280;
0.038033;1.460225;
0.038839;1.377539;
0.039557;1.290483;
0.040186;1.199334;
0.040727;1.104379;
0.041178;1.005919;
0.041541;0.904267;
0.041814;0.799744;
0.041998;0.692681;
0.042094;0.583418;
0.042103;0.472300;
0.042025;0.359679;
0.041861;0.245913;
0.041612;0.131361;
0.041281;0.016386;
0.040867;-0.098646;
0.040372;-0.213373;
0.039798;-0.327430;
0.039147;-0.440456;
0.038419;-0.552093;
0.037616;-0.661987;
0.036741;-0.769790;
0.035794;-0.875160;
0.034777;-0.977763;
0.033691;-1.077274;
0.032539;-1.173379;
0.031320;-1.265771;
0.030036;-1.354158;
0.028690;-1.438261;
0.027280;-1.517811;
0.025810;-1.592558;
0.024279;-1.662264;
0.022688;-1.726708;
0.021038;-1.785685;
0.019330;-1.839008;
0.017564;-1.886509;
0.015741;-1.928036;
0.013861;-1.963458;
0.011925;-1.992662;
0.009933;-2.015555;
0.007885;-2.032064;
